Instance,4x8,4x16,8x16,8x32,16x32,16x64,32x128
m5,0.384,0.384,0.768,0.768,1.536,0.0,0.0
m5a,0.344,0.344,0.688,0.688,1.376,0.0,0.0
m5n,0.476,0.476,0.952,0.952,1.904,0.0,0.0
m6i,0.192,0.192,0.384,0.384,0.768,0.768,1.536
m6a,0.173,0.173,0.346,0.346,0.691,0.691,1.3824
r6i,0.252,0.252,0.504,0.504,1.008,1.008,2.016,2.016
c6i,0.17,0.17,0.34,0.34,0.68,0.68,1.36,1.36
c6a,0.306,0.306,0.612,0.612,1.224,0.0,0.0
e2,0.134012,0.134012,0.268024,0.268024,0.536048,0.536,1.07
n2,0.194236,0.194236,0.388472,0.388472,0.776944,0.777,1.55
c2,0.2088,0.2088,0.4176,0.4176,0.8352,0.0,0.0
n1,0.189999,0.189999,0.379998,0.379998,0.759996,0.0,0.0
