Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
2,e2,8x16,17dc4abde7a89495,75ce9d69d0b9bad3,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,3772.0000000,21969054798262.0000000,16000000000.0000000,15998750720.0000000
0,e2,8x16,39d175faa4222ba9,963dd61c87663dab,SRR592109_2.fastq.gz,bwa,0.7.17.4,ok,8.0000000,16000.0000000,421.0000000,2080559439823.0000000,16000000000.0000000,11376463872.0000000
2,e2,8x16,39d175faa4222ba9,626de2653ca99318,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,193.0000000,1395508287935.0000000,16000000000.0000000,12683796480.0000000
0,e2,8x16,17dc4abde7a89495,7d934be8a09cb02a,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,8.0000000,16000.0000000,111.0000000,306392542516.0000000,16000000000.0000000,66019328.0000000
2,e2,4x16,ec2a12cd94dc70e6,180549f7b7b055fb,ERR015526_2.fastq.gz,bwa,0.7.17.4,ok,4.0000000,16000.0000000,5926.0000000,19982351790430.0000000,16000000000.0000000,15997775872.0000000
2,e2,8x16,17dc4abde7a89495,75ce9d69d0b9bad3,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,504.0000000,3420163856374.0000000,16000000000.0000000,9821052928.0000000
2,e2,4x16,ec2a12cd94dc70e6,180549f7b7b055fb,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,81.0000000,199229755494.0000000,16000000000.0000000,63729664.0000000
0,e2,4x16,ec2a12cd94dc70e6,fb6c713f236f9ef9,ERR015526_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,4.0000000,16000.0000000,1894.0000000,6714962048539.0000000,16000000000.0000000,9172267008.0000000
2,e2,4x16,ec2a12cd94dc70e6,180549f7b7b055fb,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,16000.0000000,677.0000000,2401137262535.0000000,16000000000.0000000,10486882304.0000000
1,e2,4x16,ec2a12cd94dc70e6,b3955e1ddfa31753,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,16000.0000000,81.0000000,200592922270.0000000,16000000000.0000000,62681088.0000000
