Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
0,js2,7x15,b74c49d5e29e4064,dc82f02ffe1cb474,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,deleted,,,,,,
0,js1,7x15,3a1cbd7a56b8ab4f,d53a8f9d443461a4,SRR592109_2.fastq.gz,bowtie2,2.4.2+galaxy0,ok,7.0000000,15000.0000000,337.0000000,932035079769.0000000,14999998464.0000000,6085947392.0000000
0,js1,4x8,5706f1fd443621c1,4228e45bf6dd0261,ERR015526_2.fastq.gz,stringtie,2.1.1,ok,4.0000000,8000.0000000,135.0000000,192090815094.0000000,8000000000.0000000,1185144832.0000000
0,js2,4x8,99858126694062b2,eb4c5cff086aece6,SRR592109_2.fastq.gz,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,200.0000000,767788201483.0000000,8000000000.0000000,7999369216.0000000
0,js1,7x15,3a1cbd7a56b8ab4f,8a80ee7252e4e04b,ERR015526_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,7.0000000,15000.0000000,774.0000000,2933187845378.0000000,14999998464.0000000,9886257152.0000000
0,js1,7x15,3a1cbd7a56b8ab4f,d53a8f9d443461a4,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,7.0000000,15000.0000000,243.0000000,238668608100.0000000,14999998464.0000000,8249434112.0000000
0,js1,7x15,3a1cbd7a56b8ab4f,8a80ee7252e4e04b,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,ok,7.0000000,15000.0000000,1909.0000000,11791391711529.0000000,14999998464.0000000,14998790144.0000000
0,js2,7x15,b74c49d5e29e4064,2c0b736583bdd365,ERR015526_2.fastq.gz,bwa_mem,0.7.17.1,deleted,7.0000000,15000.0000000,1909.0000000,11791391711529.0000000,14999998464.0000000,14998790144.0000000
0,js2,7x15,b74c49d5e29e4064,2c0b736583bdd365,ERR015526_2.fastq.gz,bwa,0.7.17.4,deleted,7.0000000,15000.0000000,1909.0000000,11791391711529.0000000,14999998464.0000000,14998790144.0000000
0,js1,4x8,5706f1fd443621c1,eb51cc7e9d174809,SRR592109_2.fastq.gz,hisat2,2.1.0+galaxy7,ok,4.0000000,8000.0000000,534.0000000,228412500636.0000000,8000000000.0000000,5786501120.0000000
