Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
0,m5,16x32,00dc0eee0411a792,6e73d9ad6b43c3f4,EBI SRA: ERR3988762_2,stringtie,2.1.1,ok,16.0000000,32000.0000000,880.0000000,1821028320652.0000000,32000000000.0000000,3727704064.0000000
0,n1,16x32,24e937b787fbe80d,e0b52890034499ac,EBI SRA: ERR3988762_2,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,5061.0000000,76954428425385.0000000,32000000000.0000000,24091136000.0000000
0,m6i,16x32,cd56b0b48175b94e,bae4a199922e890c,EBI SRA: ERR3988762_2,bwa,0.7.17.4,error,16.0000000,32000.0000000,0E-7,39762534.0000000,32000000000.0000000,8429568.0000000
0,m5,16x32,00dc0eee0411a792,6e73d9ad6b43c3f4,EBI SRA: ERR3988762_2,bowtie2,2.4.2+galaxy0,ok,16.0000000,32000.0000000,10588.0000000,163162596595653.0000000,32000000000.0000000,31999991808.0000000
0,c6i,16x32,d21c2101ca610db8,381433b0006e3ab2,EBI SRA: ERR3988762_2,stringtie,2.1.1,ok,16.0000000,32000.0000000,688.0000000,1299176312088.0000000,32000000000.0000000,11976122368.0000000
0,n2,16x32,4ed5068062d0d840,3c4e216cab703b72,EBI SRA: ERR3988762_2,bwa,0.7.17.4,ok,16.0000000,32000.0000000,31377.0000000,253856462327943.0000000,32000000000.0000000,31999115264.0000000
0,c6i,16x32,d21c2101ca610db8,381433b0006e3ab2,EBI SRA: ERR3988762_2,bowtie2,2.4.2+galaxy0,ok,16.0000000,32000.0000000,8222.0000000,129261981988565.0000000,32000000000.0000000,32000000000.0000000
0,m5,16x32,00dc0eee0411a792,6e73d9ad6b43c3f4,EBI SRA: ERR3988762_2,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,4020.0000000,58732142069655.0000000,32000000000.0000000,31999938560.0000000
0,n2,16x32,4ed5068062d0d840,3c4e216cab703b72,EBI SRA: ERR3988762_2,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,4391.0000000,62182338759551.0000000,32000000000.0000000,31999389696.0000000
0,n2,16x32,4ed5068062d0d840,3c4e216cab703b72,EBI SRA: ERR3988762_2,bwa_mem,0.7.17.1,error,16.0000000,32000.0000000,973.0000000,15310044145586.0000000,32000000000.0000000,31999127552.0000000
0,m5,16x32,00dc0eee0411a792,6e73d9ad6b43c3f4,EBI SRA: ERR3988762_2,bwa_mem,0.7.17.1,error,16.0000000,32000.0000000,874.0000000,13776657468011.0000000,32000000000.0000000,31999672320.0000000
0,c6i,16x32,d21c2101ca610db8,381433b0006e3ab2,EBI SRA: ERR3988762_2,bwa_mem,0.7.17.1,error,16.0000000,32000.0000000,817.0000000,12265221211481.0000000,32000000000.0000000,32000000000.0000000
0,m6i,16x32,cd56b0b48175b94e,bae4a199922e890c,EBI SRA: ERR3988762_2,bowtie2,2.4.2+galaxy0,error,16.0000000,32000.0000000,0E-7,73089414.0000000,32000000000.0000000,16035840.0000000
0,m6i,16x32,cd56b0b48175b94e,bae4a199922e890c,EBI SRA: ERR3988762_2,stringtie,2.1.1,deleted,16.0000000,32000.0000000,0E-7,73089414.0000000,32000000000.0000000,16035840.0000000
0,n1,16x32,24e937b787fbe80d,e0b52890034499ac,EBI SRA: ERR3988762_2,stringtie,2.1.1,ok,16.0000000,32000.0000000,1131.0000000,2272901457613.0000000,32000000000.0000000,14770184192.0000000
0,n1,16x32,24e937b787fbe80d,e0b52890034499ac,EBI SRA: ERR3988762_2,bwa_mem,0.7.17.1,error,16.0000000,32000.0000000,1343.0000000,19974508713610.0000000,32000000000.0000000,31999094784.0000000
0,m6i,16x32,cd56b0b48175b94e,bae4a199922e890c,EBI SRA: ERR3988762_2,bwa_mem,0.7.17.1,error,16.0000000,32000.0000000,40.0000000,4012173969.0000000,32000000000.0000000,11265073152.0000000
0,c6i,16x32,d21c2101ca610db8,381433b0006e3ab2,EBI SRA: ERR3988762_2,bwa,0.7.17.4,ok,16.0000000,32000.0000000,23711.0000000,195191800483970.0000000,32000000000.0000000,31985086464.0000000
0,m5,16x32,00dc0eee0411a792,6e73d9ad6b43c3f4,EBI SRA: ERR3988762_2,bwa,0.7.17.4,ok,16.0000000,32000.0000000,28691.0000000,226839986577997.0000000,32000000000.0000000,31999889408.0000000
0,n2,16x32,4ed5068062d0d840,3c4e216cab703b72,EBI SRA: ERR3988762_2,stringtie,2.1.1,ok,16.0000000,32000.0000000,1044.0000000,1987868568932.0000000,32000000000.0000000,12691505152.0000000
0,m6i,16x32,cd56b0b48175b94e,bae4a199922e890c,EBI SRA: ERR3988762_2,hisat2,2.1.0+galaxy7,error,16.0000000,32000.0000000,0E-7,69383218.0000000,32000000000.0000000,14876672.0000000
0,n1,16x32,24e937b787fbe80d,e0b52890034499ac,EBI SRA: ERR3988762_2,bwa,0.7.17.4,ok,16.0000000,32000.0000000,39320.0000000,338124472136595.0000000,32000000000.0000000,31999053824.0000000
0,c6i,16x32,d21c2101ca610db8,381433b0006e3ab2,EBI SRA: ERR3988762_2,hisat2,2.1.0+galaxy7,ok,16.0000000,32000.0000000,3025.0000000,45660519935825.0000000,32000000000.0000000,26572963840.0000000
