Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
3,sc2,4x32,2069a8bb7cf49af4,13207c2ea29c9499,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,139197991.0000000,4080218112.0000000,6844416.0000000
1,sc2,32x32,f4d018d407475fa0,b531062f4e8c8363,read1 read2 cdna gtf,_salmon_kallisto_mtx_to_10x,0.0.1+galaxy6,ok,32.0000000,34359.0000000,3.0000000,3205202363.0000000,34359738368.0000000,81907712.0000000
3,sc2,32x64,f2f8ea412ba179d2,523be570a1d075c2,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,32.0000000,68719.0000000,8.0000000,12580018139.0000000,68719476736.0000000,614916096.0000000
2,sc2,16x16,5a682f9862b4224c,1127d9eac824b8eb,read1 read2 cdna gtf,alevin,1.9.0+galaxy2,ok,16.0000000,17179.0000000,184.0000000,614298114774.0000000,17179869184.0000000,1824055296.0000000
2,sc2,16x64,585c3e0c147d7cd5,87e9f05c47875c91,read1 read2 cdna gtf,Cut1,unknown,error,,,,,,
1,sc2,4x32,2069a8bb7cf49af4,83a10feb60278775,read1 read2 cdna gtf,Cut1,unknown,ok,1.0000000,4080.0000000,0E-7,142228179.0000000,4080218112.0000000,7237632.0000000
2,sc2,16x16,5a682f9862b4224c,1127d9eac824b8eb,read1 read2 cdna gtf,sceasy_convert,0.0.5+galaxy1,ok,16.0000000,17179.0000000,7.0000000,6665899725.0000000,17179869184.0000000,586539008.0000000
2,sc2,8x32,fc4bea6f673bef60,36194f0341d915dd,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,34359.0000000,12.0000000,12979593222.0000000,34359738368.0000000,1000882176.0000000
3,sc2,8x16,6190a0f00bfdc3ac,0525803c1c358fc0,read1 read2 cdna gtf,join1,unknown,error,,,,,,
3,sc2,16x16,5a682f9862b4224c,3bbb9e973c5de6fb,read1 read2 cdna gtf,dropletutils_read_10x,1.0.4+galaxy0,ok,16.0000000,17179.0000000,6.0000000,8410523439.0000000,17179869184.0000000,556404736.0000000
3,sc2,4x16,62efb145ae517c8b,57557366775c6a0a,read1 read2 cdna gtf,dropletutils_empty_drops,1.0.4+galaxy0,ok,4.0000000,17179.0000000,8.0000000,8633449443.0000000,17179869184.0000000,614842368.0000000
3,sc2,8x16,6190a0f00bfdc3ac,0525803c1c358fc0,read1 read2 cdna gtf,_dropletBarcodePlot,1.6.1+galaxy2,ok,8.0000000,17179.0000000,7.0000000,8168694703.0000000,17179869184.0000000,639684608.0000000
