Input dir metrics/Variant-All/
Run,Cloud,Job Conf,Workflow,History,Inputs,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes)
3,variant,16x16,d500ad760310b2e2,209b430c42282abf,Paired Collection genome.genbank,samtools_view,1.13+galaxy1,ok,16.0000000,17179.0000000,0E-7,140596340.0000000,17179869184.0000000,14393344.0000000
3,variant,32x64,9a6cc873aace2180,17655829dacfbe27,Paired Collection genome.genbank,fastp,0.23.2+galaxy0,ok,32.0000000,68719.0000000,1.0000000,975488023.0000000,68719476736.0000000,1315815424.0000000
2,variant,8x8,e3c322d536e7b43c,7c851b51efef16ea,Paired Collection genome.genbank,picard_MarkDuplicates,2.18.2.2,ok,8.0000000,8589.0000000,4.0000000,22451070630.0000000,8589934592.0000000,2576019456.0000000
3,variant,4x64,f0aca293ceeeb1d4,a7fe093d95b2953a,Paired Collection genome.genbank,lofreq_viterbi,2.1.5+galaxy0,ok,4.0000000,68719.0000000,0E-7,348341263.0000000,68719476736.0000000,9617408.0000000
1,variant,16x16,d500ad760310b2e2,d54ec79d2a426c81,Paired Collection genome.genbank,multiqc,1.11+galaxy0,ok,16.0000000,17179.0000000,3.0000000,7183754445.0000000,17179869184.0000000,83034112.0000000
3,variant,8x64,ffab3c0a86ab7d0a,bb1240fd58d67a4f,Paired Collection genome.genbank,lofreq_filter,2.1.5+galaxy0,ok,8.0000000,68719.0000000,0E-7,91301534.0000000,68719476736.0000000,4444160.0000000
1,variant,16x32,8b756e234a800102,1c04efb96110d535,Paired Collection genome.genbank,snpEff,4.3+T.galaxy1,ok,16.0000000,34359.0000000,2.0000000,4716747977.0000000,34359738368.0000000,231337984.0000000
3,variant,16x32,8b756e234a800102,d760e6d5015c42e3,Paired Collection genome.genbank,snpEff_build_gb,4.3+T.galaxy4,ok,1.0000000,51539.0000000,4.0000000,2445388189.0000000,51539607552.0000000,206667776.0000000
3,variant,8x8,e3c322d536e7b43c,f1ef30b014f57f3b,Paired Collection genome.genbank,samtools_view,1.13+galaxy1,ok,8.0000000,8589.0000000,0E-7,131550131.0000000,8589934592.0000000,10936320.0000000
2,variant,4x64,f0aca293ceeeb1d4,53f7ea53dad83aa2,Paired Collection genome.genbank,lofreq_indelqual,2.1.5+galaxy0,ok,4.0000000,68719.0000000,0E-7,132532558.0000000,68719476736.0000000,4837376.0000000
2,variant,8x16,6ed199bedf3cf441,5d6c634f073e31e1,Paired Collection genome.genbank,multiqc,1.11+galaxy0,ok,8.0000000,17179.0000000,3.0000000,5578674174.0000000,17179869184.0000000,82776064.0000000
3,variant,8x8,e3c322d536e7b43c,f1ef30b014f57f3b,Paired Collection genome.genbank,lofreq_call,2.1.5+galaxy1,ok,8.0000000,8589.0000000,0E-7,1472418907.0000000,8589934592.0000000,46587904.0000000
3,variant,32x32,f691edd13fc46e8c,f028e038aad017c1,Paired Collection genome.genbank,lofreq_call,2.1.5+galaxy1,ok,32.0000000,34359.0000000,0E-7,3326790453.0000000,34359738368.0000000,141049856.0000000
2,variant,8x32,2efb96df94014a9d,31b226c4750ea7a4,Paired Collection genome.genbank,multiqc,1.11+galaxy0,ok,8.0000000,34359.0000000,3.0000000,5491697864.0000000,34359738368.0000000,83189760.0000000
1,variant,4x8,e56b8fd15a10e85f,36dc5dc1bf6ee51f,Paired Collection genome.genbank,fastp,0.23.2+galaxy0,ok,4.0000000,8589.0000000,1.0000000,884977057.0000000,8589934592.0000000,1148510208.0000000
2,variant,4x16,a9e8001a1ec35be5,7263a5fe44d95bff,Paired Collection genome.genbank,lofreq_indelqual,2.1.5+galaxy0,error,,,,,,
1,variant,4x64,f0aca293ceeeb1d4,bc69be16e741d8c4,Paired Collection genome.genbank,bwa_mem,0.7.17.2,ok,4.0000000,68719.0000000,0E-7,576243866.0000000,68719476736.0000000,11378688.0000000
